General Features;Version;Last Release Date;Author;URL;Free and Open Source;License;Programming Language;Data Storage;License Cost/ Fee;Development status;Intended Audience;Hosting Features;Storage Quota;Bandwidth Quota;Other Limits;Topic Restrictions;Corporate Branding;Own Domain;Ads allowed;System Requirements;Operating System;Root Access;Webserver;Other Requirements;Datastorage;Text Files;MySQL;PostgreSQL;Oracle;SQLite;BerkeleyDB;RCS;Other;Security/Anti-Spam;Page Permissions;ACL;Authentication Backends;Host Blocking;Mail Encryption;nofollow;Blacklist;CAPTCHA;Delayed Indexing;Development/Support;Commercial Support;Preconfigured Hosting;Code Repository;Issue Tracker;Mailing List;Support Forum;IRC Channel;Common Features;Preview;Minor Changes;Change Summary;Page History;Page Revisions;Revision Diffs;Page Index;Plugin System;Special Features;Unicode Support;Right-to-Left Support;Interface Languages;;Email notification;Comments;Categories;Namespaces;Page Redirection;Conflict Handling;Search;Wiki Farming;Structured Data;Links;CamelCase;Freelinks;Backlinks;InterWiki;SisterWiki;Image Links;Windows Shares;Page Redirects;Syntax Features;HTML Tags;Math formulas;Tables;CREOLE support;Markdown Support;Textile Support;BBCode Support;Emoticon Images;Syntax Highlighting;Footnotes;Quoting;Internal Comments;Custom styles;FAQ Tags;Scripting;Content Includes;Feed Aggregation;Usability;Section Editing;Page Templates;Double-Click Edit;Toolbar;WYSIWYG Editing;Access Keys;Auto Signature;Statistics;Recent Changes;Wanted Pages;Orphaned Pages;Most/Least Popular;Recent Visitors;Analysis;Output;HTML;CSS Stylesheets;Printer Friendly;Mobile Friendly;Themes & Skins;RSS Feeds;ATOM Feeds;Abbreviations;Auto-TOC;Raw Export;HTML Export;XML export;PDF Export;Media and Files;File Attachments;Media Revisions;Embedded Flash;Embedded Video;Image Editing;SVG Editing;MindMap Editing;Media Search;Extras;Calendar;Image Galleries;Forums;Blogs;Ticket System;Syntax Examples;Internal Link;;;;;;External Link;;;;;;;;Headlines;;;;;;;;;;;;;Bold Format;;;;;;Italics Format;;;;;;Underline Format;;;;;;Monospace Format;;;;;;;Strikethrough Format;;;Superscript Format;;;Subscript Format;;;;Images;;;;;;;;;;;;;;;;;;Aligning Text;;;;;;;Text Indentation;;;;Bulleted Lists;;;;;;;;;;Numbered Lists;;;;;;;;;;Definition Lists;;;;;;;Horizontal Rule;;;Try it;;;;;;
Giki ;37012;38861;Gregor Richards;giki.sourceforge.net;Yes;GPL;PHP;Files;Free;Mature;General. Known to be used for both private and internal corporate sites.;Giki ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;Giki ;Any;No;Any (supporting PHP);None;Giki ;Yes;No;No;No;No;No;No;None;Giki ;Yes;Yes;Yes: PAM, LDAP;No;Yes;No;No;No;No;Giki ;No;No;svn.sourceforge.net;sourceforge.net;None;sourceforge.net;None;Giki ;Yes;No;No;Yes;Unlimited;Between all;Yes;;Giki ;Yes;Optional;5 languages;English, Finnish, German, Italian, Spanish;Plugin;No;No;No;Plugin;None;Not available;;;Giki ;Plugin;Yes;No;Plugin;No;Yes;No;;Giki ;Optional;No;complex;;No;No;Plugin;No;No;No;No;No;Yes;No;No;Plugin;No;Giki ;No;;No;Plugin;Plugin;No;No;Giki ;Plugin;No;No;No;No;No;Giki ;HTML 4;Yes;No;;Yes;No;No;No;Plugin;Yes;No;No;No;Giki ;Optional;No;No;No;No;No;No;No;Giki ;;;;;;Giki ;[Page being linked to];[Text of link|Node title];;;;;[http://URL/];[Text of|http://URL/];[:localURL.html];[Text of|:localURL.html];;;;;HTML:;<h1>...</h1>;<h2>...</h2>;;GWS:;=H1=;==H2==;===H3===;;;;;;HTML:;<b>Bold</b>;;GWS:;##Bold##;;HTML:;<i>Italic</i>;;GWS:;//Italic//;;HTML:;<u>Underline</u>;;GWS:;__Underline__;;HTML:;<tt>Monospace</tt>;(others);;GWS:;{{Monospace}};;HTML only;;;HTML only;;;HTML only;;;;[img:filename.png];;;;;;;;;;;;;;;;;;(No complex alignment suported w/o HTML);;;;;;;(No complex indentation suported w/o HTML);;;;HTML:;<ul>;<li>A</li>;<li>B</li>;</ul>;;GWS:;* A;* B;;HTML:;<ol>;<li>A</li>;<li>B</li>;</ol>;;GWS:;# A;# B;; N/A;;;;;;;;;;;;;;;;
Git-Wiki ;0.9.5;30 Oct 2012;Daniel Mendler;gitwiki.org;Yes;MIT;Ruby;RCS;Free;Mature;Private, Public;Git-Wiki ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;Git-Wiki ;*nix;No;Ruby webserver (Mongrel, Unicorn, Thin, Webrick);Ruby;Git-Wiki ;No;No;No;No;No;No;Yes;Git;Git-Wiki ;Yes;Yes;Plugin system, backends can be added;Plugin;No;No;No;Plugin;No;Git-Wiki ;No;No;github.com;github.com;;;;Git-Wiki ;Plugin;No;Plugin;Yes;Unlimited;Between all;Yes;Yes;Git-Wiki ;Yes;Optional;4 languages;Czech, German, English, French;No;No;No;No;Plugin;Conflict Detection;Full Text;Yes;No;Git-Wiki ;No;Yes;No;Plugin;No;Yes;No;Plugin;Git-Wiki ;Plugin;Plugin;simple + complex;Plugin;Plugin;Plugin;No;No;Plugin;Plugin;No;Plugin;Yes;No;XML based, Javascript;Yes;Yes;Git-Wiki ;Plugin;Yes;No;Plugin;No;Yes;No;Git-Wiki ;Yes;No;No;No;No;No;Git-Wiki ;XHTML 1.1;Yes;Print CSS;No;Yes;Plugin;Plugin;No;Plugin;Yes;No;No;No;Git-Wiki ;Yes;Yes;No;Yes;No;Yes;No;Contents;Git-Wiki ;Plugin;Yes;No;Plugin;No;Git-Wiki ;[[a link]];[[a link|with title]];;;;;[[http://example.org|The title]];;;;;;;;== Section;=== Subsection;==== Sub-subsection;;or;;== Section ==;=== Subsection ===;==== Sub-subsection ====;;;;;**bold**;;;;;;//italic//;;;;;;<u>underlined</u>;;;;;;<tt>monospace</tt>;;;;;;;<s>strikethrough</s>;;;<sup>superscript</sup>;;;<sub>subscript</sub>;;;;{{Image.png}};;;;;;;;;;;;;;;;;;;;;;;;;;;;;* Item 1;** Item 1.2;* Item 2;;;;;;;;# Item 1;## Item 1.2;# Item 2;;;;;;;;;;;;;;;----;;;;;;;;;
gitit ;0.6.2;40050;John MacFarlane;gitit.net;Yes;GPL;Haskell;RCS;0;Alpha;;gitit ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;gitit ;unix, linux;No;Happstack;git or darcs;gitit ;;;;;;;Yes;;gitit ;Yes;No;;No;Yes;No;No;Yes;No;gitit ;No;No;github.com;code.google.com;groups.google.com;;;gitit ;Yes;No;Yes;Yes;Unlimited;Between all;Yes;Yes;gitit ;Yes;;Not localized;;;Flat;Yes;Yes;No;Conflict Resolution;Full Text;No;No;gitit ;No;Yes;No;Plugin;No;Yes;;No;gitit ;Some;Yes;complex;No;Yes;No;No;No;Optional;Yes;Yes;Yes;Yes;No;;No;No;gitit ;No;No;No;No;No;No;Plugin;gitit ;Yes;No;No;No;No;No;gitit ;XHTML 1.0 Transitional;Yes;Print View;;Yes;No;Yes;No;Yes;Yes;No;Yes;No;gitit ;Yes;Yes;;;No;No;No;Keywords;gitit ;Plugin;No;No;No;No;gitit ;[Cactus]();;;;;;[cactus](http://cactus.com);;;;;;;;# This is a heading;;## Level 2;;;;;;;;;;;**bold**;;;;;;*italics*;;;;;;;;;;;;`monospace`;;;;;;;~~strikethrough~~;;;^super^;;;~sub~;;;;![an image](butterfly.jpg);;;;;;;;;;;;;;;;;;;;;;;;;> block quotation;;;;* list;* list;;;;;;;;;1. list;2. list;;;;;;;;;term;:    def;term2;:    def2;;;;-----;;;;;;;;;
Groupswiki ;does not apply;does not apply;Ben Nolan @ Moso Interactive;www.groupswiki.com;does not apply;does not apply;does not apply;does not apply;Free (while in beta);does not apply;All users;Groupswiki ;Unlimited;Unlimited;;No restrictions;;No;;Groupswiki ;does not apply;does not apply;does not apply;does not apply;Groupswiki ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;Groupswiki ;;;does not apply;;;;;;;Groupswiki ;No;does not apply;does not apply;;;;;Groupswiki ;Yes;;Yes;Yes;Unlimited;Between all;Yes;No;Groupswiki ;Yes;;Not localized;;;;;;;;Full Text;does not apply;;Groupswiki ;Yes;Yes;Yes;;;Yes;;;Groupswiki ;Some;;;;;;;;;;;;;;;;;Groupswiki ;Yes;;Yes;Yes;Yes;;;Groupswiki ;Yes;;;;;;Groupswiki ;XHTML 1.0 Strict;Yes;;;;Yes;;;;;Yes;Yes;;Groupswiki ;Yes;;;;Yes;;;;Groupswiki ;;;;;;Groupswiki ;Visual editor - no wiki syntax.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GWiki ;1.0.1;41288;Roger Rene Kommer;labs.micromata.de;Yes;Apache License, Version 2.0;Java;Files, DB;Free;Mature;User, Developer, Enterprise, Workgroups;GWiki ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;GWiki ;Windows, Mac OS X, Linux (All Java Plattforms);No;All Java Servlet Container, included;Java 1.5+;GWiki ;Yes;No;No;Yes;No;No;Plugin;Google Datastore;GWiki ;Yes;Yes;Internal and external with adapter;No;No;Optional;No;Yes;No;GWiki ;Yes, 1 listed;Yes;SVN see labs.micromata.de;labs.micromata.de;;labs.micromata.de;;GWiki ;Yes;Yes;Yes;Yes;Unlimited;Between all;Yes;Yes;GWiki ;Yes;Optional;2 languages;German, English;Yes;Threaded;Yes;Yes;Yes;Conflict Resolution;Full Text;Yes;Yes;GWiki ;Plugin;Yes;Yes;No;No;Yes;No;Yes;GWiki ;All;No;simple + complex;No;No;Yes;No;No;Yes;No;Yes;Yes;Yes;No;Groovy, Macros, JSP-Taglibs;Yes;Plugin;GWiki ;Plugin;Yes;No;Yes;Yes;Yes;No;GWiki ;Yes;Yes;Yes;Yes;No;No;GWiki ;XHTML 1.1;Yes;Print CSS;Optional;Yes;Yes;Yes;Plugin;Yes;Yes;Yes;No;No;GWiki ;Yes;Yes;Yes;No;No;No;No;Contents;GWiki ;Plugin;Yes;Plugin;Plugin;No;GWiki ;[path/Page];[My Title|path/Page];;;;;[http://example.com];;;;;;;;h1. Heading 1;h2. Heading 2;;;;;;;;;;;;*Bold Format*;;;;;;_Italic format_;;;;;;+Unterlined+;;;;;;{{Monospace}};;;;;;;-StrikeThrough-;;;^Superscript^;;;~Subscript~;;;;!path/SkinSampleGWiki.png!;;;;;;;;;;;;;;;;;;{div:style=...};Aligned Text;{div};;;;;{div:style=...};Aligned Text;{div};;- Item 1;- Item 2;-- Sub Item;;;;;;;;# Item 1;# Item 2;## Sub Item;;;;;;;;* Item 1;* Item 2;** Sub Item;;;;;----;;;;;;;;;
Hackpad ;does not apply;does not apply;Hackpad;hackpad.com;does not apply;does not apply;does not apply;does not apply;Free;does not apply;teams;Hackpad ;;;;;Yes;Optional;No;Hackpad ;does not apply;does not apply;does not apply;does not apply;Hackpad ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;Hackpad ;Yes;Yes;does not apply;No;Yes;;;No;;Hackpad ;No;does not apply;does not apply;;;hackpad.com;;Hackpad ;No;No;No;Yes;;;;No;Hackpad ;Yes;No;Not localized;;Yes;;;;;;Full Text;does not apply;;Hackpad ;;;Yes;;;;;;Hackpad ;None;Yes;simple;;Yes;;;No;Yes;No;;No;No;;;;;Hackpad ;;No;;Yes;;Yes;Yes;Hackpad ;Yes;;;;;;Hackpad ;;;Print View;Yes;No;;;;Yes;;Yes;;Yes;Hackpad ;Yes;;No;Yes;No;No;No;No;Hackpad ;No;No;;;No;Hackpad ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hatta ;37408;41483;Radomir Dopieralski;hatta-wiki.org;Yes;GPL v2;Python;Files, RCS;0;Mature;;Hatta ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;Hatta ;Linux, Unix, Windows, MacOSX;No;Standalone, WSGI, FastCGI, CGI;Mercurial;Hatta ;Yes;No;No;No;Optional;No;Yes;Plain text files in Mercurial repository, with SQLite index;Hatta ;Yes;No;n/a;No;Yes;No;No;Optional;No;Hatta ;No;No;bitbucket.org;bitbucket.org;n/a;n/a;#wiki at freenode.net;Hatta ;Yes;Yes;Yes;Yes;Unlimited;Between all;Yes;No;Hatta ;Yes;Optional;15 languages;Arabic, Czech, Danish, German, Greek, English, Spanish, Estonian, Finnish, French, Hungarian, Japanese, Polish, Russian, Swedish;No;No;Yes;Optional;No;Conflict Resolution;Full Text;Optional;No;Hatta ;Optional;Yes;Yes;No;No;Yes;No;No;Hatta ;None;Optional;simple;Yes;No;No;No;Optional;Optional;No;Yes;No;Yes;No;JavaScript;No;No;Hatta ;No;No;Yes;No;No;No;No;Hatta ;Yes;Yes;Yes;No;No;No;Hatta ;HTML 4;Yes;Print CSS;Yes;Optional;No;Yes;No;No;Yes;No;No;No;Hatta ;Yes;Yes;No;No;No;No;No;Filenames only;Hatta ;No;No;No;No;No;Hatta ;[[link]];[[link|label]];;;;;;;;;;;http://example.com;[[http://example.com]];[[http://example.com|label]];[[http://example.com|{{image}}]];;;;;= h1 =;== h2 ==;...;===== h5 =====;;;;;;;;;**bold**;;;;;//italic//;;;;; n/a;;;;{{{verbatim}}};;;;;;;; n/a;;;; n/a;; n/a;;{{image}};{{image|alt}};;;;;; n/a;;;;;;;;;;; n/a;;;;;;;;;;;;;;* list;** sublist;;;;;;;; n/a;;;;;;;;;;; n/a;;;;;;----;;;;;;;
IkeWiki ;2.0rc5;39493;Sebastian Schaffert, Salzburg Research;ikewiki.salzburgresearch.at;Yes;GPL;Java;Database;0;Beta;Advanced Users, Developers, Scientists;IkeWiki ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;IkeWiki ;All/Java;No;Tomcat;PostgreSQL;IkeWiki ;No;No;Yes;No;No;No;No;Jena RDF Storage;IkeWiki ;Yes;Yes;;No;No;No;No;No;No;IkeWiki ;No;No;;sourceforge.net;sourceforge.net;sourceforge.net;;IkeWiki ;Yes;No;Yes;Yes;Unlimited;Between all;No;;IkeWiki ;Yes;No;Not localized;;No;Threaded;Yes;Yes;No;None;Full Text;;;IkeWiki ;No;Yes;Yes;No;No;Yes;No;;IkeWiki ;Some;No;simple + complex;;No;No;No;No;Patch;Plugin;No;Yes;Yes;No;"yes; SPARQL and JRuby";Yes;Yes;IkeWiki ;No;;No;Yes;Yes;Optional;No;IkeWiki ;Yes;No;No;No;No;No;IkeWiki ;XHTML 1.0 Transitional;Yes;Print View;;Yes;Yes;No;No;Yes;Yes;No;Yes;Plugin;IkeWiki ;Yes;No;Yes;Yes;No;No;No;Contents;IkeWiki ;;;;;;IkeWiki ;[[Link]];[[Link|Label]];;;;;;;;;;;[http://www.example.com];[http://www.example.com | Label];;;;;;;via WYSIWYG;;;;;;;;;;;;via WYSIWYG;;;;;via WYSIWYG;;;;;via WYSIWYG;;;;via WYSIWYG;;;;;;;;via WYSIWYG;;;;via WYSIWYG;;via WYSIWYG;;[[ Image:MyImage.ipg ]];;;;;;;via WYSIWYG;;;;;;;;;;;via WYSIWYG;;;;;;;;;;;;;;via WYSIWYG;;;;;;;;;via WYSIWYG;;;;;;;;;;;via WYSIWYG;;;;;;via WYSIWYG;;;;;;;
ikiwiki ;24504;39738;Joey Hess and the ikiwiki community;ikiwiki.info;Yes;GPL;Perl;Files, RCS;0;Mature;Anyone;ikiwiki ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;ikiwiki ;Any;No;Any, or none;;ikiwiki ;Yes;No;No;No;No;No;Yes;;ikiwiki ;Yes;Yes;"Built-in, HTTP auth, OpenID; extensible via plugins";Yes;Yes;No;Yes;No;No;ikiwiki ;Yes, 1 listed;;svn://ikiwiki.info/ikiwiki/trunk;"ikiwiki.info ; ikiwiki.info";ikiwiki.info;ikiwiki.info;ikiwiki.info;ikiwiki ;Yes;No;Yes;Yes;Unlimited;Between all;Plugin;Yes;ikiwiki ;Yes;Yes;Not localized;;Yes;Discussion Pages;Plugin;Yes;No;Conflict Resolution;Full Text;Yes;;ikiwiki ;Plugin;Yes;Yes;Plugin;Plugin;Yes;Yes;;ikiwiki ;Optional;Plugin;simple + complex;No;Yes;Plugin;No;Plugin;Plugin;No;Yes;Yes;Yes;Yes;safe subset of HTML::Template supported via template plugin;Plugin;Plugin;ikiwiki ;No;Yes;No;No;No;No;No;ikiwiki ;Yes;Plugin;Plugin;No;No;No;ikiwiki ;XHTML 1.0 Strict;Yes;Print CSS;Yes;Yes;Plugin;Plugin;No;Plugin;Yes;Yes;No;No;ikiwiki ;Yes;Yes;Optional;Optional;No;No;No;Filenames only;ikiwiki ;Plugin;Plugin;;Yes;Yes;ikiwiki ;[[internal]];;;;;;;;;;;;[link text](http://example.org);;;;;;;;Two syntaxes:;;# heading 1;## heading 2;### heading 3;;heading 1;=========;;heading 2;---------;;**bold**;__bold__;;;;*emphasized*;_emphasized_;;;;via HTML: <u>underlined</u>;;;;`inline monospace`;;indented block of;monospaced text;;tab-indented;block;;via HTML: <del>deleted</del>;;;;via HTML: x<sup>2</sup>;;via HTML: a<sub>1</sub>;;![alt text](internal/image);![alt text](http://example.org/external/image);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;* item 1;* item 2;* item 2.1;* item 2.2;;;;;;1. item 1;2. item 2;1. item 1.1;42. the value doesn't matter;1. any value works;;;;;;;via HTML:;<dl>;<dt>term</dt>;<dd>definition</dd>;</dl>;;---;***;___;------------------;Any number > 3;- - - - - - - - - -;spaces don't matter;
iKnow - a tiny wiki ;41671;40584;CodeBrewery;codebrewery.blogspot.com;Yes;Microsoft Public License (Ms-PL);ASP.Net MVC 3 (C# with Razor view engine);Database;;Beta;Everyone in need of a (really) tiny wiki or a internal knowledge database;iKnow - a tiny wiki ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;iKnow - a tiny wiki ;Windows Server 2008 +;No;IIS 7.0 +;ASP.Net MVC 3, WebMatrix;iKnow - a tiny wiki ;No;No;No;No;No;No;No;Microsoft SQL Server;iKnow - a tiny wiki ;No;No;OpenID;No;No;No;No;No;No;iKnow - a tiny wiki ;No;;iknowwiki.codeplex.com;iknowwiki.codeplex.com;;iknowwiki.codeplex.com;;iKnow - a tiny wiki ;Yes;No;No;Yes;;;;No;iKnow - a tiny wiki ;Yes;Yes;Not localized;;No;No;No;No;No;None;Full Text;No;No;iKnow - a tiny wiki ;;Yes;;;;Yes;;;iKnow - a tiny wiki ;All;;simple + complex;;;;;;Yes;;Yes;;;;;;;iKnow - a tiny wiki ;;No;;;Yes;;;iKnow - a tiny wiki ;No;No;No;No;No;Optional;iKnow - a tiny wiki ;HTML 4;Yes;Print CSS;Yes;Optional;No;No;No;No;No;No;No;No;iKnow - a tiny wiki ;No;No;No;No;No;No;No;No;iKnow - a tiny wiki ;No;No;No;No;No;iKnow - a tiny wiki ;[[InternalLink]];;;;;;;;;;;;"<a href=""http://www.google.ch"">ExternalLink</a>";;;;;;;;<h1>Headline</h1>;;;;;;;;;;;;<b>Bold</b>;;;;;<i>Italic</i>;;;;;<u>Underline</u>;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Incentive ;3.0.1;41717;Mindroute Incentive AB;www.incentivecorp.com;No;Commercial;.NET, C#;Database;Free for 3 users;Mature;small-, mid- and large enterprises with the need for collaborative tools within the organization;Incentive ;;;;;Yes;Yes;Yes;Incentive ;•Microsoft Windows Server 2008 or later;No;Internet Information Service 7 or later;.NET 4.5;Incentive ;No;No;No;No;No;No;No;Microsoft SQL Server 2008 or later. Express edtions also supported.;Incentive ;Yes;Yes;Form, Active Directory, ADAM;Optional;No;Optional;Optional;Yes;No;Incentive ;Yes, 5 listed;Yes;;;support@incentivecorp.com or twitter.com/incentivecorp;www.incentivecorp.com/support;;Incentive ;Yes;Yes;Yes;Yes;Unlimited;Between all;Yes;Yes;Incentive ;Yes;Yes;Not localized;;Yes;Flat;Yes;No;Yes;Conflict Detection;Full Text;Yes;Yes;Incentive ;No;Yes;Yes;No;No;Yes;Yes;Optional;Incentive ;All;No;simple + complex;No;Yes;No;No;No;Yes;No;Yes;Yes;Yes;Yes;JavaScript;Yes;Yes;Incentive ;Yes;Yes;No;Yes;Yes;Yes;Yes;Incentive ;Yes;Yes;No;Yes;Yes;Yes;Incentive ;XHTML 1.1;Yes;Print CSS;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Plugin;Incentive ;Yes;Yes;Yes;Yes;No;No;No;Contents;Incentive ;Plugin;Plugin;Plugin;Yes;Plugin;Incentive ;/wiki/article-name;/blog/blog-name;/post/post-name;;;;;;;;;;www.incentivelive.com;;;;;;;;<h1>Header 1</h1>;<h2>Header 2</h2>;<h3>Header 3<7h3>;;;;;;;;;;All below is standard XHTML, no plight wiki syntax! No need to know them either - just use the WYSIWYG-editor.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instiki ;0.19.6;41312;David Heinemeier Hansson, Jacques Distler, Matthias Tarasiewicz;golem.ph.utexas.edu;Yes;Ruby's;Ruby on Rails;Database;0;Mature;general, education;Instiki ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;Instiki ;UNIX, Windows, MacOS X;;Mongrel (included), or Apache/NGinx (via Passenger);"Ruby 1.8.7, 1.9.2 or 1.9.3; Rubygems 1.3.6 or later";Instiki ;No;Yes;Yes;Plugin;Yes;No;No;Any Rails-compatible back-end datastore can be used.;Instiki ;Yes;No;;Yes;;;Yes;;;Instiki ;No;;golem.ph.utexas.edu;github.com;rubyforge.org;golem.ph.utexas.edu;;Instiki ;No;Yes;No;Yes;Unlimited;Between all;Yes;No;Instiki ;Yes;Yes;Not localized;;No;No;Yes;No;Yes;Page Locking;Full Text;Yes;No;Instiki ;Optional;Yes;Yes;Yes;No;Yes;No;Yes;Instiki ;All;Yes;simple + complex;No;Yes;Yes;No;No;Yes;Yes;Yes;Yes;Yes;No;None;Yes;No;Instiki ;No;No;No;No;No;Yes;Yes;Instiki ;Yes;Yes;Yes;No;No;No;Instiki ;XHTML 1.1;Yes;Print View;;No;No;Yes;Yes;Yes;Yes;Yes;No;No;Instiki ;Yes;No;No;Yes;No;Yes;No;No;Instiki ;No;No;No;No;No;Instiki ;[[Some Page]];[[Some Page|anchor text]];;;;;;;;;;;[another site](http://example.com);;;;;;;;#Level 1#;##Level 2##;###Level 3###;####Level 4####;#####Level 5#####;######Level 6######;;;;;;;**bold**;;;;;_italic_, *italic*;;;;;underlined;{: style='text-decoration:underlined'};;;`monospace`;;;;;;;;<del>strikethrough</del>;strikethrough;{: style='text-decoration:line-through'};;<sup>superscript</sup>;;<sub>subscript</sub>;;![alt text](http://ex.com/image.jpg),;[[image.jpg|alt text:pic]];;;;;;p{: style='text-align:left'};p{: style='text-align:right'};p{: style='text-align:center'};p{: style='text-align:justify'};;;;;;;;p;{: style='margin-left:3em'};;> blockquote;;;;;;;;;;;* Item 1;** Item 1.1;* Item 2;;;;;;;1. Item 1;1. Item 1.1;2. Item 2;;;;;;;;;term;: definition;;;;;***;;;;;;;
Intodit ;does not apply;does not apply;Nyana;www.intodit.com;does not apply;does not apply;does not apply;does not apply;Free;does not apply;Everyone;Intodit ;None;None;None;No sexually explicit content or otherwise damaging content;Yes;Yes;;Intodit ;does not apply;does not apply;does not apply;does not apply;Intodit ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;Intodit ;Yes;Yes;does not apply;;;Yes;;;Yes;Intodit ;;does not apply;does not apply;;;;;Intodit ;Yes;Yes;Yes;Yes;Unlimited;To current;Yes;;Intodit ;Yes;;;;;Discussion Pages;;;No;;Full Text;does not apply;Yes;Intodit ;No;No;;;No;Yes;;;Intodit ;;;;;;;;;;;;;Yes;;;;;Intodit ;;;;Yes;Yes;;;Intodit ;Yes;;;;;;Intodit ;XHTML 1.0 Strict;;;;Yes;Yes;;;;;;;;Intodit ;Yes;No;Yes;Yes;;No;No;No;Intodit ;Yes;;Yes;;;Intodit ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jacwiki ;41699;April 8, 2008;Jacob Roeland (Jacroe);;Yes;GNU GPL;PHP;Files;0;Mature;End users;Jacwiki ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;Jacwiki ;Any;No;Any though only tested with Apache;None;Jacwiki ;Yes;No;No;No;No;No;No;;Jacwiki ;No;No;No;No;No;No;Yes;Yes;No;Jacwiki ;No;No;;jacwiki.jacroe.com;;jacwiki.jacroe.com;;Jacwiki ;No;No;No;Yes;Unlimited;No;No;Yes;Jacwiki ;Yes;No;Not localized;;No;No;No;No;No;None;Not available;;;Jacwiki ;No;Yes;No;No;No;No;No;;Jacwiki ;None;No;none;No;No;No;Yes;No;No;No;No;Yes;Yes;No;None;No;No;Jacwiki ;No;;No;No;No;Yes;No;Jacwiki ;No;No;No;No;No;No;Jacwiki ;XHTML 1.0 Transitional;Yes;No;;Yes;No;No;No;No;No;No;No;No;Jacwiki ;Yes;No;No;No;No;No;No;No;Jacwiki ;;;;;;Jacwiki ;[[mainpage]];;;;;;;;;;;;[url-http:/google.com-]Google[/url];;;;;;;;[h1]Headline1[/h1];;;;;;;;;;;;[b]bold[/b];;;;;[i]italics[/i];;;;;[u]underline[/u];;;; n/a;;;;;;;; n/a;;;; n/a;; n/a;; n/a;;;;;;; n/a;;;;;;;;;;; n/a;;;;;;;;;;;;;;[ul];[li]whatever[/li];[/ul];;;;;;;[ol];[li]whatever[/li];[/ol];;;;;;;;; n/a;;;;;;[hr];;;;;;;
